Description	amt	prc
Гранти Президента України молодим діячам мистецтва для створення і реалізації творчих проектів, премії і стипендії за видатні досягнення у галузі культури, літератури, мистецтва	16373	0.816533349
Здійснення концертно-мистецьких та культурологічних загальнодержавних заходів, заходів з виявлення та підтримки творчо обдарованих дітей та молоді, заходів, пов'язаних із забезпеченням свободи совісті та релігії, державна підтримка регіональних культурних ініціатив та аматорського мистецтва, поповнення експозицій музеїв та репертуарів театрів, концертних та циркових організацій, забезпечення розвитку та застосування української мови	80348.1	0.015209871
Забезпечення діяльності національних музеїв, національних і державних бібліотек та культурно-просвітницьких центрів	536413.4	0.535255831
Заходи з відтворення культури національних меншин, заходи Української Всесвітньої Координаційної Ради, заходи з реалізації Європейської хартії регіональних мов або мов меншин, заходи щодо встановлення культурних зв'язків з українською діаспорою, заходи щодо зміцнення зв'язків закордонних українців з Україною та забезпечення міжнародної діяльності у сфері міжнаціональних відносин	1800	2.007927443
Будівництво другої черги Національного музею "Меморіал жертв голодомору"	14250	-
Фінансова підтримка друкованих періодичних видань культурологічного напрямку, газет мовами національних меншин, фінансова підтримка гастрольної діяльності вітчизняних виконавців	7431.4	0.015346886
Надання фінансової підтримки державному підприємству "Кримський дім"	3843.4	0.398199233
Збереження історико-культурної та архітектурної спадщини в національних і державних заповідниках, здійснення заходів з охорони культурної спадщини, паспортизація, інвентаризація та реставрація пам'яток архітектури, культури та світової спадщини ЮНЕСКО	338973.5	0.465248852
Забезпечення діяльності Українського інституту книги, випуск книжкової продукції за програмою "Українська книга"	80000	-
 Комплексна реставрація і пристосування ансамблю Жовківського замку Державного історико-архітектурного заповідника у м. Жовкві	10000	-
Реставрація з переплануванням горищних приміщень в буд. № 5. на вул. Нижанківського під навчальні приміщення Львівської національної музичної академії ім. М.В. Лисенка в межах об’єму існуючого горища. Без зміни конфігурації даху	3675.3	-
Керівництво та управління у сфері кінематографії	8732.5	0.567918448
Створення та розповсюдження національних фільмів, фінансова підтримка державного підприємства "Національний центр Олександра Довженка"	501500	0.993868438
Здійснення концертно-мистецьких, культурологічних заходів у сфері кінематографії, фінансова підтримка Національної спілки кінематографістів України	5300	0.607627341
Гранти Президента України молодим діячам мистецтва для створення і реалізації творчих проектів в сфері кінематографії та премії за видатні досягнення у галузі кінематографії	420	3.2
Керівництво та управління у сфері відновлення та збереження національної пам’яті	13171.1	0.600418694
Заходи з реалізації державної політики у сфері відновлення та збереження національної пам’яті, забезпечення діяльності Національного меморіального комплексу Героїв Небесної Сотні - Музею Революції гідності та Галузевого державного архіву Українського інституту національної пам’яті	13569	1.735473623
Керівництво та військове управління Збройними Силами України	384518.7	0.152592462
Забезпечення діяльності Збройних Сил України та підготовка військ	52112650.1	0.101773451
Медичне лікування, реабілітація та санаторне забезпечення особового складу Збройних Сил України, ветеранів військової служби та членів їх сімей, ветеранів війни	1923930.5	-0.035199936
