Description	amt	prc
Гірничорятувальні заходи на вугледобувних підприємствах	290000	0.101780876
Державна підтримка вугледобувних підприємств на часткове покриття витрат із собівартості готової товарної вугільної продукції 	870000	-0.36623797
Фізичний захист ядерних установок та ядерних матеріалів	25013.5	-0.003981922
"Внесок України до Енергетичного Співтовариства
"	5860	0.2089636
Виконання боргових зобов'язань за кредитами, залученими під державні гарантії, з метою реалізації проектів соціально-економічного розвитку	307015	-0.147612487
Приведення в безпечний стан уранових об’єктів 	14855	-0.13957371
Державна підтримка будівництва шахти №10 "Нововолинська"	150000	2
Підтримка впровадження Енергетичної стратегії України 	1000	-
Впровадження Програми реформування та розвитку енергетичного сектора 	24797.9	-0.253282406
Керівництво та управління у сфері економічного розвитку і торгівлі	224976.6	0.018621269
Внески України до бюджету СОТ, за участь України в програмі ЄС "Конкурентоспроможність підприємств малого та середнього бізнесу (COSME)", до Єдиного бюджету органів СНД	33373.5	0.586239414
Забезпечення двостороннього співробітництва України з іноземними державами та міжнародними організаціями, інформаційне та організаційне забезпечення участі України у міжнародних форумах, конференціях, виставках	39606.2	3.894209162
Фінансова підтримка видань з економічних питань	748.4	-0.162032353
Збереження та функціонування національної еталонної бази, забезпечення функціонування служб, прикладні наукові і науково-технічні розробки, виконання робіт за державними цільовими програмами і державним замовленням у сфері стандартизації, метрології та еталонної бази, гармонізація національних стандартів з міжнародними та європейськими, підготовка наукових кадрів у сфері економічного розвитку	38505.6	0.30651899
Фінансова підтримка розвитку туризму, створення умов безпеки туристів, розбудови туристичної інфраструктури міжнародних транспортних коридорів та магістралей в Україні	30486	-
Виконання програми "Сприяння взаємній торгівлі шляхом усунення технічних бар'єрів у торгівлі між Україною та Європейським Союзом"	1000	-0.982114592
Забезпечення життєдіяльності Криворізького гірничо-збагачувального комбінату окислених руд	23850	0
Функціонування торгових представництв за кордоном	27577.4	8.927069834
Виконання державних цільових програм реформування та розвитку оборонно-промислового комплексу, розроблення, освоєння і впровадження нових технологій, нарощування наявних виробничих потужностей для виготовлення продукції оборонного призначення	785180	5.286279677
Керівництво та управління у сфері державного резерву	24745.2	1.057356986
Обслуговування державного матеріального резерву	171316.6	0.1788829
Накопичення (приріст) матеріальних цінностей державного матеріального резерву	182880	2.249232126
Керівництво у сфері інтелектуальної власності	12841.7	0.97387688
