parent_name	code	description	tags	budget_total	FOP	util	rozvytok	prc
Апарат Міністерства внутрішніх справ України	1001100	Медичне забезпечення працівників Міністерства внутрішніх справ України, поліцейських та працівників Національної поліції України	Міністерство внутрішніх справ України	1137951.8	592531.5	97414.7	101593	8.063070669
Апарат Міністерства внутрішніх справ України	1001170	Наукове та інформаційно-аналітичне забезпечення заходів по боротьбі з організованою злочинністю і корупцією	Міністерство внутрішніх справ України	4138.9	3319.1	80.9	0	0.089475721
Апарат Міністерства внутрішніх справ України	1001200	"Державна підтримка фізкультурно-спортивного товариства ""Динамо"" України на організацію та проведення роботи з розвитку фізичної культури і спорту серед працівників і військовослужбовців правоохоронних органів"	Міністерство внутрішніх справ України	18905.7	0	0	10000	12.44954416
Апарат Міністерства внутрішніх справ України	1001210	Видатки для Міністерства внутрішніх справ України на реалізацію заходів щодо підвищення обороноздатності і безпеки держави	Міністерство внутрішніх справ України	500000	0	0	500000	-
Адміністрація Державної прикордонної служби України	1002010	Керівництво та управління у сфері охорони державного кордону України	Міністерство внутрішніх справ України	148548.1	124640.5	0	0	27.87923729
Адміністрація Державної прикордонної служби України	1002030	Матеріально-технічне забезпечення Державної прикордонної служби України та утримання її особового складу	Міністерство внутрішніх справ України	6181144.7	3993101.5	183667.6	508363.6	2.349567848
Адміністрація Державної прикордонної служби України	1002060	Підготовка кадрів та підвищення кваліфікації Національною академією Державної прикордонної служби України	Міністерство внутрішніх справ України	245649.2	176415.9	11688.6	1281.4	3.42317788
Адміністрація Державної прикордонної служби України	1002070	Будівництво (придбання) житла для військовослужбовців Державної прикордонної служби України	Міністерство внутрішніх справ України	200000	0	0	200000	-13.04261435
Адміністрація Державної прикордонної служби України	1002110	Розвідувальна діяльність у сфері захисту державного кордону	Міністерство внутрішніх справ України	83015.9	63039.3	0	4037.5	15.84639384
Адміністрація Державної прикордонної служби України	1002120	Заходи з інженерно-технічного облаштування кордону	Міністерство внутрішніх справ України	200000	0	0	200000	0
Адміністрація Державної прикордонної служби України	1002600	Реалізація проекту з модернізації автоматизованих систем прикордонного контролю	Міністерство внутрішніх справ України	4846.8	0	0	4846.8	-
Національна гвардія України	1003010	Керівництво та управління Національною гвардією України	Міністерство внутрішніх справ України	182789.2	152856.3	0	0	25.61677322
Національна гвардія України	1003020	Забезпечення виконання завдань та функцій Національної гвардії України	Міністерство внутрішніх справ України	8499726.8	4262146.1	169153.4	1864626.2	-2.557262272
Національна гвардія України	1003070	Підготовка кадрів для Національної гвардії України вищими навчальними закладами	Міністерство внутрішніх справ України	345379.4	235183.8	9579.9	6356	16.53941182
Національна гвардія України	1003080	Стаціонарне лікування військовослужбовців Національної гвардії України у власних медичних закладах	Міністерство внутрішніх справ України	56104.6	27843	2530.5	8361.1	52.10682088
Національна гвардія України	1003090	Будівництво (придбання) житла для військовослужбовців Національної гвардії України	Міністерство внутрішніх справ України	200000	0	0	200000	64.20361248
Національна гвардія України	1003100	Видатки для Національної гвардії України на реалізацію заходів щодо підвищення обороноздатності і безпеки держави	Міністерство внутрішніх справ України	700000	0	0	700000	-
Державна міграційна служба України	1004010	Керівництво та управління у сфері міграції, громадянства, імміграції та реєстрації фізичних осіб	Міністерство внутрішніх справ України	59043	27312.4	2192.1	20000	56.50082939
Державна міграційна служба України	1004020	Забезпечення виконання завдань та функцій у сфері громадянства, імміграції та реєстрації фізичних осіб	Міністерство внутрішніх справ України	1945632.6	466829.8	48015	308711.7	29.30461408
Державна міграційна служба України	1004070	Внески до Міжнародної організації з міграції	Міністерство внутрішніх справ України	1549.4	0	0	0	-13.82337236
Державна служба України з надзвичайних ситуацій	1006010	Керівництво та управління у сфері надзвичайних ситуацій	Міністерство внутрішніх справ України	96746.6	71828.2	4301.6	0	25.04796028
Державна служба України з надзвичайних ситуацій	1006050	Авіаційні роботи з пошуку і рятування	Міністерство внутрішніх справ України	9823	5810.3	109.4	0	23.65383157
Державна служба України з надзвичайних ситуацій	1006060	Гідрометеорологічна діяльність	Міністерство внутрішніх справ України	321425.5	217112.4	12279.4	13091.4	26.72811231
Державна служба України з надзвичайних ситуацій	1006070	Прикладні наукові та науково-технічні розробки, виконання робіт за державними цільовими програмами і державним замовленням у сфері гідрометеорології, підготовка наукових кадрів	Міністерство внутрішніх справ України	22461.8	0	0	22461.8	21.01049168
Державна служба України з надзвичайних ситуацій	1006080	Прикладні наукові та науково-технічні розробки, виконання робіт за державними цільовими програмами і державним замовленням у сфері цивільного захисту та пожежної безпеки, підготовка наукових кадрів	Міністерство внутрішніх справ України	32110.2	0	0	32110.2	37.60431473
Державна служба України з надзвичайних ситуацій	1006090	Придбання пожежної та іншої спеціальної техніки вітчизняного виробництва	Міністерство внутрішніх справ України	600835.7	0	0	600835.7	33.27166733
Державна служба України з надзвичайних ситуацій	1006100	Видатки для Державної служби України з надзвичайних ситуацій на реалізацію заходів щодо підвищення обороноздатності і безпеки держави	Міністерство внутрішніх справ України	100000	0	0	100000	-
Державна служба України з надзвичайних ситуацій	1006280	Забезпечення діяльності сил цивільного захисту	Міністерство внутрішніх справ України	6343576.6	4808845.8	141949.6	62690.7	32.52986781
Державна служба України з надзвичайних ситуацій	1006360	Підготовка кадрів у сфері цивільного захисту	Міністерство внутрішніх справ України	453523	312509.8	20961	5335.8	23.33541621
Національна поліція України	1007010	Керівництво та управління діяльністю Національної поліції України	Міністерство внутрішніх справ України	580816.3	485000	0	0	27.61721142
Національна поліція України	1007020	Забезпечення діяльності підрозділів, установ та закладів Національної поліції України	Міністерство внутрішніх справ України	16079836.2	12007904.2	507622.4	100630.7	-22.95140477
Міністерство енергетики та вугільної промисловості України	1101010	Загальне керівництво та управління у сфері паливно-енергетичного комплексу та вугільної промисловості	Міністерство енергетики та вугільної промисловості України	76884.4	59964	1494.9	10.Тра	81.74474806
Міністерство енергетики та вугільної промисловості України	1101030	Прикладні наукові та науково-технічні розробки, виконання робіт за державними цільовими програмами і державним замовленням, підготовка наукових кадрів та фінансова підтримка розвитку наукової інфраструктури у сфері паливно-енергетичного комплексу й вугільної промисловості	Міністерство енергетики та вугільної промисловості України	8396.1	0	0	8396.1	59.28856005
Міністерство енергетики та вугільної промисловості України	1101070	Реструктуризація вугільної та торфодобувної промисловості 	Міністерство енергетики та вугільної промисловості України	847101.6	0	0	847101.6	693.9463172
Міністерство енергетики та вугільної промисловості України	1101100	Гірничорятувальні заходи на вугледобувних підприємствах	Міністерство енергетики та вугільної промисловості України	290000	0	0	0	10.17808761
Міністерство енергетики та вугільної промисловості України	1101110	Державна підтримка вугледобувних підприємств на часткове покриття витрат із собівартості готової товарної вугільної продукції 	Міністерство енергетики та вугільної промисловості України	870000	0	0	870000	-36.62379705
Міністерство енергетики та вугільної промисловості України	1101140	Фізичний захист ядерних установок та ядерних матеріалів	Міністерство енергетики та вугільної промисловості України	25013.5	0	0	25013.5	-0.398192207
Міністерство енергетики та вугільної промисловості України	1101440	"Внесок України до Енергетичного Співтовариства

"	Міністерство енергетики та вугільної промисловості України	5860	0	0	0	20.89636003
Міністерство енергетики та вугільної промисловості України	1101470	Виконання боргових зобов'язань за кредитами, залученими під державні гарантії, з метою реалізації проектів соціально-економічного розвитку	Міністерство енергетики та вугільної промисловості України	307015	0	0	0	-14.76124874
Міністерство енергетики та вугільної промисловості України	1101480	Приведення в безпечний стан уранових об’єктів 	Міністерство енергетики та вугільної промисловості України	14855	0	0	14855	-13.95737103
Міністерство енергетики та вугільної промисловості України	1101530	"Державна підтримка будівництва шахти №10 ""Нововолинська"""	Міністерство енергетики та вугільної промисловості України	150000	0	0	150000	200
Міністерство енергетики та вугільної промисловості України	1101540	Підтримка впровадження Енергетичної стратегії України 	Міністерство енергетики та вугільної промисловості України	1000	0	0	1000	-
Міністерство енергетики та вугільної промисловості України	1101630	Впровадження Програми реформування та розвитку енергетичного сектора 	Міністерство енергетики та вугільної промисловості України	24797.9	0	0	0	-25.32824063
Апарат Міністерства економічного розвитку і торгівлі України	1201010	Керівництво та управління у сфері економічного розвитку і торгівлі	Міністерство економічного розвитку і торгівлі України	224976.6	167184	8182	0	1.862126865
Апарат Міністерства економічного розвитку і торгівлі України	1201020	"Внески України до бюджету СОТ, за участь України в програмі ЄС ""Конкурентоспроможність підприємств малого та середнього бізнесу (COSME)"", до Єдиного бюджету органів СНД"	Міністерство економічного розвитку і торгівлі України	33373.5	0	0	0	58.62394138
Апарат Міністерства економічного розвитку і торгівлі України	1201030	Забезпечення двостороннього співробітництва України з іноземними державами та міжнародними організаціями, інформаційне та організаційне забезпечення участі України у міжнародних форумах, конференціях, виставках	Міністерство економічного розвитку і торгівлі України	39606.2	0	0	0	389.4209162
Апарат Міністерства економічного розвитку і торгівлі України	1201120	Фінансова підтримка видань з економічних питань	Міністерство економічного розвитку і торгівлі України	748.4	0	0	0	-16.20323533
Апарат Міністерства економічного розвитку і торгівлі України	1201220	Збереження та функціонування національної еталонної бази, забезпечення функціонування служб, прикладні наукові і науково-технічні розробки, виконання робіт за державними цільовими програмами і державним замовленням у сфері стандартизації, метрології та еталонної бази, гармонізація національних стандартів з міжнародними та європейськими, підготовка наукових кадрів у сфері економічного розвитку	Міністерство економічного розвитку і торгівлі України	38505.6	0	0	38505.6	30.65189895
Апарат Міністерства економічного розвитку і торгівлі України	1201230	Фінансова підтримка розвитку туризму, створення умов безпеки туристів, розбудови туристичної інфраструктури міжнародних транспортних коридорів та магістралей в Україні	Міністерство економічного розвитку і торгівлі України	30486	0	0	2600	-
Апарат Міністерства економічного розвитку і торгівлі України	1201440	"Виконання програми ""Сприяння взаємній торгівлі шляхом усунення технічних бар'єрів у торгівлі між Україною та Європейським Союзом"""	Міністерство економічного розвитку і торгівлі України	1000	0	0	1000	-98.21145924
Апарат Міністерства економічного розвитку і торгівлі України	1201480	Забезпечення життєдіяльності Криворізького гірничо-збагачувального комбінату окислених руд	Міністерство економічного розвитку і торгівлі України	23850	0	0	23850	0
Апарат Міністерства економічного розвитку і торгівлі України	1201510	Функціонування торгових представництв за кордоном	Міністерство економічного розвитку і торгівлі України	27577.4	626.6	1658.1	0	892.7069834
Апарат Міністерства економічного розвитку і торгівлі України	1201520	Виконання державних цільових програм реформування та розвитку оборонно-промислового комплексу, розроблення, освоєння і впровадження нових технологій, нарощування наявних виробничих потужностей для виготовлення продукції оборонного призначення	Міністерство економічного розвитку і торгівлі України	785180	0	0	785180	528.6279677
Державне агентство резерву України	1203010	Керівництво та управління у сфері державного резерву	Міністерство економічного розвитку і торгівлі України	24745.2	14166.6	941.9	0	105.7356986
Державне агентство резерву України	1203020	Обслуговування державного матеріального резерву	Міністерство економічного розвитку і торгівлі України	171316.6	66913.2	21334.1	12105.1	17.88828995
Державне агентство резерву України	1203040	Накопичення (приріст) матеріальних цінностей державного матеріального резерву	Міністерство економічного розвитку і торгівлі України	182880	0	0	180216.9	224.9232126
Державна служба інтелектуальної власності України	1205010	Керівництво у сфері інтелектуальної власності	Міністерство економічного розвитку і торгівлі України	12841.7	8190.6	689.6	577.7	97.38768799
Державна служба статистики України	1207010	Керівництво та управління у сфері статистики	Міністерство економічного розвитку і торгівлі України	949995.9	734138.7	38980.4	2825.9	76.6065642
Державна служба статистики України	1207020	Статистичні спостереження та переписи	Міністерство економічного розвитку і торгівлі України	8683.1	0	0	0	0.136394047
Державна служба статистики України	1207030	Щоквартальна плата домогосподарствам за ведення записів доходів, витрат та інших відомостей під час проведення обстеження умов їх життя	Міністерство економічного розвитку і торгівлі України	5498.3	0	0	5498.3	16.88937896
Державна служба статистики України	1207040	Прикладні розробки, підготовка наукових кадрів у сфері державної статистики	Міністерство економічного розвитку і торгівлі України	1470.9	0	0	1470.9	33.71818182
Державна служба експортного контролю України	1208010	Керівництво та управління у сфері експортного контролю	Міністерство економічного розвитку і торгівлі України	14990.7	11763.8	107.8	333	106.8515589
Міністерство економічного розвитку і торгівлі України (загальнодержавні витрати)	1211050	Мобілізаційна підготовка галузей національної економіки України	Міністерство економічного розвитку і торгівлі України	37906.5	22662	3721.8	0	40.77176868
Міністерство закордонних справ України	1401010	Керівництво та управління у сфері державної політики щодо зовнішніх відносин	Міністерство закордонних справ України	206426.6	123945.9	6757.7	28000	86.68021893
Міністерство закордонних справ України	1401020	Внески України до бюджетів ООН, органів і спеціалізованих установ системи ООН, інших міжнародних організацій та конвенційних органів	Міністерство закордонних справ України	611637.8	0	0	0	2.408091776
Міністерство закордонних справ України	1401030	Функціонування закордонних дипломатичних установ України та розширення мережі власності України для потреб цих установ	Міністерство закордонних справ України	3038119.5	116038.3	102714.1	161000	47.96607881
Міністерство закордонних справ України	1401050	Реалізація Міністерством закордонних справ України повноважень з проведення зовнішньої політики України, організація і контроль за діяльністю закордонних дипломатичних установ України	Міністерство закордонних справ України	30000	0	0	0	119.5448484
Міністерство закордонних справ України	1401060	Забезпечення головування України у міжнародних інституціях	Міністерство закордонних справ України	9217.5	0	0	0	397.8863475
Міністерство закордонних справ України	1401100	Професійне навчання працівників органів державної влади у сфері зовнішніх зносин, проведення прикладних досліджень у галузі міжнародних відносин	Міністерство закордонних справ України	15876.4	8783.2	580.8	0	33.68012747
Міністерство закордонних справ України	1401110	Фінансова підтримка забезпечення міжнародного позитивного іміджу України, заходи щодо підтримки зв'язків з українцями, які проживають за межами України	Міністерство закордонних справ України	77000	0	0	0	?
Міністерство закордонних справ України	1401130	Документування громадян та створення і забезпечення функціонування інформаційно-телекомунікаційних систем консульської служби	Міністерство закордонних справ України	55959.9	0	0	19941.3	46.37415643
Міністерство з питань тимчасово окупованих територій та внутрішньо переміщених осіб України	1601010	Керівництво та управління з питань тимчасово окупованих територій та внутрішньо переміщених осіб	Міністерство з питань тимчасово окупованих територій та внутрішньо переміщених осіб України	25249.4	19138.9	690	0	140.6218993
Державний комітет телебачення і радіомовлення України	1701010	Керівництво та управління у сфері телебачення і радіомовлення	Комітети, Комісії, Ради та інше	24715.9	19380.2	585.5	0	56.18070366
Державний комітет телебачення і радіомовлення України	1701020	Прикладні розробки у сфері засобів масової інформації, книговидавничої справи та інформаційно-бібліографічної діяльності, фінансова підтримка розвитку наукової інфраструктури	Комітети, Комісії, Ради та інше	11969.5	0	0	11969.5	13.66762721
Державний комітет телебачення і радіомовлення України	1701040	Підвищення кваліфікації працівників засобів масової інформації в Укртелерадіопресінституті	Комітети, Комісії, Ради та інше	6095.4	4479	293.6	30	45.99139273
Державний комітет телебачення і радіомовлення України	1701050	Фінансова підтримка творчих спілок у сфері засобів масової інформації, преси	Комітети, Комісії, Ради та інше	1452.9	0	0	0	141.8131422
Державний комітет телебачення і радіомовлення України	1701080	Фінансова підтримка Національної суспільної телерадіокомпанії України	Комітети, Комісії, Ради та інше	970797.8	0	0	23089.9	18.32639934
Державний комітет телебачення і радіомовлення України	1701130	Державні стипендії видатним діячам інформаційної галузі, дітям журналістів, які загинули або стали інвалідами у зв'язку з виконанням службових обов'язків  та премії в інформаційній галузі	Комітети, Комісії, Ради та інше	2786.8	0	0	0	64.93888626
Державний комітет телебачення і радіомовлення України	1701370	"Забезпечення підготовки та проведення  пісенного конкурсу ""Євробачення - 2017"""	Комітети, Комісії, Ради та інше	455700	0	0	140000	5.824160513
Апарат Міністерства культури України	1801010	Загальне керівництво та управління у сфері культури	Міністерство культури України	51271.5	37968	1696.5	1500	69.58737517
Апарат Міністерства культури України	1801020	Прикладні розробки у сфері розвитку культури	Міністерство культури України	1000	0	0	1000	-86.88404245
